"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"CHM00058457","HANGZHOU, CH","1961-04","17","17","10","7","0","0","0","13","0","39","1.59","82","3055","116","3.01","61.7","69.7","53.7"
"CHM00058457","HANGZHOU, CH","1961-05","160","143","17","15","0","0","0","28","1","48","2.65","91","3066","10","8.10","69.3","76.9","61.6"
"CHM00058457","HANGZHOU, CH","1961-06","584","424","15","10","0","0","0","29","8","62","4.93","96","3066","1","9.36","79.1","85.3","72.9"
"CHM00058457","HANGZHOU, CH","1961-07","1275","690","6","5","0","0","0","31","31","76","1.04","101","0","0","1.90","87.3","95.5","79.0"
"CHM00058457","HANGZHOU, CH","1961-08","1906","631","11","9","0","0","0","31","26","74","3.38","99","0","0","10.37","85.4","93.0","77.7"
"CHM00058457","HANGZHOU, CH","1961-09","2264","358","12","8","0","0","0","30","4","61","1.23","92","0","0","4.59","76.9","82.8","71.1"
"CHM00058457","HANGZHOU, CH","1961-10","2331","67","10","8","0","0","0","20","0","49","2.67","87","45","45","5.78","65.7","72.3","59.2"
"CHM00058457","HANGZHOU, CH","1961-11","2335","4","11","7","0","0","0","5","0","34","0.53","74","272","227","2.80","57.6","63.7","51.4"
"CHM00058457","HANGZHOU, CH","1961-12","2335","0","9","5","0","4","0","0","0","27","0.48","70","885","613","1.13","45.2","51.7","38.7"
"CHM00058457","HANGZHOU, CH","1962-01","0","0","2","2","0","23","0","0","0","23","0.89","55","1727","842","1.44","37.8","46.0","29.7"
"CHM00058457","HANGZHOU, CH","1962-02","1","1","9","4","0","9","0","3","0","24","1.38","83","2275","549","2.67","45.4","55.5","35.4"
"CHM00058457","HANGZHOU, CH","1962-03","1","0","9","5","0","2","0","4","0","30","0.35","77","2771","496","1.27","49.0","58.7","39.3"
"CHM00058457","HANGZHOU, CH","1962-04","7","7","15","12","0","0","0","10","0","33","1.24","80","3001","229","4.28","57.6","66.2","49.0"
"CHM00058457","HANGZHOU, CH","1962-05","144","136","10","6","0","0","0","25","0","52","1.60","87","3036","35","3.81","68.2","75.4","61.1"
"CHM00058457","HANGZHOU, CH","1962-06","482","339","14","10","0","0","0","30","4","66","1.27","94","3036","0","5.20","76.3","82.6","70.0"
"CHM00058457","HANGZHOU, CH","1962-07","1104","621","12","10","0","0","0","31","22","72","0.61","100","0","0","2.75","85.0","92.2","77.8"
"CHM00058457","HANGZHOU, CH","1962-08","1687","583","15","11","0","0","0","31","25","71","1.73","98","0","0","7.35","83.8","91.9","75.7"
"CHM00058457","HANGZHOU, CH","1962-09","2020","333","13","7","0","0","0","30","5","60","6.19","94","0","0","13.79","76.1","82.7","69.5"
"CHM00058457","HANGZHOU, CH","1962-10","2086","65","15","11","0","0","0","12","1","44","2.17","90","105","105","6.89","63.7","70.7","56.7"
"CHM00058457","HANGZHOU, CH","1962-11","2087","1","10","7","0","1","0","7","0","30","0.89","78","470","365","2.80","52.9","60.3","45.4"
"CHM00058457","HANGZHOU, CH","1962-12","2087","0","7","5","0","10","0","1","0","26","0.30","71","1097","626","1.14","44.8","53.6","36.0"
"CHM00058457","HANGZHOU, CH","1963-01","0","0","0","0","0","27","0","0","0","20","0.00","61","1947","851","0.01","37.6","48.8","26.3"
